id,attachments,context_annotations,conversation_id,created_at,account_id,in_reply_to_user_id,lang,retweet_count,reply_count,like_count,quote_count,reply_settings,source,text,mentions,hashtags,urls
868555185869729794,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '788929372342263808', 'name': 'Cheddar', 'description': 'Cheddar'}}]",868555185869729794,2017-05-27T19:51:07.000Z,849525735345803265,,en,82.0,0.0,0.0,0.0,everyone,Twitter Web Client,RT @aaaamhim: $ELED 1000% BOUNCE 250MIL A/S. I just use math they drink koolaid!💡📚 $CHRO $AMLH $CBIS $DBMM $DOLV $MMEX $OWCP $ICNB $USRM $T…,['aaaamhim'],[],[]
868541668827570176,,,868541668827570176,2017-05-27T18:57:25.000Z,849525735345803265,,en,191.0,0.0,0.0,0.0,everyone,Twitter Web Client,RT @aaaamhim: $ELED unknown WE R GOING 2 TURN IT 2 A HOUSEHOLD NAME! 250MIL A/S💡 $BKD.V $CHRO $AMLH $ASTI $BVTK $DBMM $DOLV $MMEX $OWCP $IC…,['aaaamhim'],[],[]
868242054211653633,,"[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Entity Service related Events domain'}, 'entity': {'id': '788929372342263808', 'name': 'Cheddar', 'description': 'Cheddar'}}]",868242054211653633,2017-05-26T23:06:51.000Z,849525735345803265,,en,94.0,0.0,0.0,0.0,everyone,Twitter Web Client,RT @aaaamhim: $ELED 250MIL A/S with 264 SHREHOLDERS? NO SHARES LEFT🔥💸 $BKD.V $CHRO $AMLH $ASTI $BVTK $DBMM $DOLV $MMEX $OWCP $ICNB $USRM $T…,['aaaamhim'],[],[]
868053316244307969,,,868053316244307969,2017-05-26T10:36:52.000Z,849525735345803265,,en,226.0,0.0,0.0,0.0,everyone,Twitter Web Client,"RT @sprtcrdlui: $AMLH Moved up Mar 27, April 26, Look for Move up Today   $NPHC $MMEX $MRNJ $BVTK $DOLV $PGPM $AMLH $OWCP $USRM $CHRO $DBMM…",['sprtcrdlui'],[],[]
867836243387613184,,,867836243387613184,2017-05-25T20:14:18.000Z,849525735345803265,,in,173.0,0.0,0.0,0.0,everyone,Twitter Web Client,RT @aaaamhim: $ELED stop ignorin MONEY! MATH🔥💡📚💸 https://t.co/gdBv08xcNL  $AMLH $ASTI $BVTK $S $DBMM $DOLV $USRM $ICNB $OWCP $MMEX $MMHC $M…,['aaaamhim'],[],['https://www.facebook.com/groups/1719749']
867796972266115073,,,867796972266115073,2017-05-25T17:38:15.000Z,849525735345803265,,en,190.0,0.0,0.0,0.0,everyone,Twitter Web Client,"RT @aaaamhim: $ELED ONLY 100K AVAILABLE TO SHORT down from 2million!!?, WHAT!?? THEY ARE DEAD!! MOTHER OF ALL SHORT SQUEEZES to .15 $CHRO $…",['aaaamhim'],[],[]
867727537467789313,,,867727537467789313,2017-05-25T13:02:21.000Z,849525735345803265,,en,180.0,0.0,0.0,0.0,everyone,Twitter Web Client,RT @Casey66389731: $ELED. Recruits are Here💸🔥 $RSII $OWCP $ICNB $BMXC $USRM $MJTK $ABVG $ABHI $ORRV $ERBB $MINE $CHRO $TRTC https://t.co/hz…,[],[],[]
,,,,,1646172445,,,,,,,,,,,,
1521833265669103618,,,1521833265669103618,2022-05-04T12:44:59.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Maxley Foster,[],[],[]
1521787840262115328,,,1521787840262115328,2022-05-04T09:44:29.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Julian Frogweasel,[],[],[]
1521742685630963712,,,1521742685630963712,2022-05-04T06:45:03.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!","Luke ""Sly Ned"" Hopsham",[],[],[]
1521697480412262400,,,1521697480412262400,2022-05-04T03:45:25.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Victor Turnip,[],[],[]
1521652181941686273,,,1521652181941686273,2022-05-04T00:45:25.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Aurelia Vivian Petspice,[],[],[]
1521606681045573634,,,1521606681045573634,2022-05-03T21:44:37.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Grace Tattleboard,[],[],[]
1521561403764531200,,,1521561403764531200,2022-05-03T18:44:42.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Liza Murderbay,[],[],[]
1521516277608554496,,,1521516277608554496,2022-05-03T15:45:23.000Z,747051374404206592,,sv,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Aranora Rubberburn,[],[],[]
1521471053226135553,,,1521471053226135553,2022-05-03T12:45:41.000Z,747051374404206592,,en,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Lizette Tinker,[],[],[]
1521425571963494400,,,1521425571963494400,2022-05-03T09:44:57.000Z,747051374404206592,,ht,0.0,0.0,0.0,0.0,everyone,"Cheap Bots, Done Quick!",Madame Avamela Raggaworthy,[],[],[]
1329557801409142784,,,1329557801409142784,2020-11-19T22:50:56.000Z,2614966002,,und,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,YES! 🙌🏻💕 https://t.co/JBpbSMuHC2,[],[],['https://twitter.com/benwinston/status/1329208424182079489']
1325119636237660161,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1070724838841446400', 'name': 'Peter Gadiot', 'description': 'British actor'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1070724838841446400', 'name': 'Peter Gadiot', 'description': 'British actor'}}]",1325118978105233408,2020-11-07T16:55:15.000Z,2614966002,1609352863,und,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,@PeterGadiot ❤️,['PeterGadiot'],[],[]
1316722447593472002,,,1316722447593472002,2020-10-15T12:47:49.000Z,2614966002,,en,0.0,0.0,0.0,0.0,everyone,Twitter for iPhone,⭐⭐⭐⭐⭐ 5 star review from Stephanie https://t.co/4ZASoJDNd9 #S'moo,[],['S'],['https://stamped.io/go/Y3xTb2NpYWxTaGFyZXw4ODUzOHxyfDM1MjQ2NzY40']
